key,scientific_name,species,family,country,year,month,basis_of_record
2711580429,"Agelaius phoeniceus (Linnaeus, 1766)",Agelaius phoeniceus,Icteridae,United States of America,2023,12,HUMAN_OBSERVATION
2712194350,"Nannopterum auritum (R.P.Lesson, 1831)",Phalacrocorax auritus,Phalacrocoracidae,United States of America,2023,12,HUMAN_OBSERVATION
2712245522,"Quiscalus major Vieillot, 1819",Quiscalus major,Icteridae,United States of America,2023,12,HUMAN_OBSERVATION
2712399542,"Haliaeetus leucocephalus (Linnaeus, 1766)",Haliaeetus leucocephalus,Accipitridae,United States of America,2023,12,HUMAN_OBSERVATION
2712963372,"Cathartes aura (Linnaeus, 1758)",Cathartes aura,Cathartidae,United States of America,2023,12,HUMAN_OBSERVATION
2713657746,"Ardea alba Linnaeus, 1758",Ardea alba,Ardeidae,United States of America,2023,12,HUMAN_OBSERVATION
2715188564,"Plegadis falcinellus (Linnaeus, 1766)",Plegadis falcinellus,Threskiornithidae,United States of America,2023,12,HUMAN_OBSERVATION
2718956852,"Butorides virescens (Linnaeus, 1758)",Butorides virescens,Ardeidae,United States of America,2023,12,HUMAN_OBSERVATION
2721551966,"Nycticorax nycticorax (Linnaeus, 1758)",Nycticorax nycticorax,Ardeidae,United States of America,2023,12,HUMAN_OBSERVATION
2722136263,"Rallus elegans Audubon, 1834",Rallus elegans,Rallidae,United States of America,2023,12,HUMAN_OBSERVATION
2723751384,"Egretta tricolor (Statius Muller, 1776)",Egretta tricolor,Ardeidae,United States of America,2023,12,HUMAN_OBSERVATION
2725111342,"Podilymbus podiceps (Linnaeus, 1758)",Podilymbus podiceps,Podicipedidae,United States of America,2023,12,HUMAN_OBSERVATION
2762508377,"Megaceryle alcyon (Linnaeus, 1758)",Megaceryle alcyon,Alcedinidae,United States of America,2023,12,HUMAN_OBSERVATION
2766360441,"Anhinga anhinga (Linnaeus, 1766)",Anhinga anhinga,Anhingidae,United States of America,2023,12,HUMAN_OBSERVATION
2771149504,"Spatula discors (Linnaeus, 1766)",Spatula discors,Anatidae,United States of America,2023,12,HUMAN_OBSERVATION
